command|status|accept/ignore|step_time|step_num|step_length|side_step_length|step_angle_rad|logtime|
|stop|ignore|0|0|0|0|0|0:0:1|
|stop|ignore|0|0|0|0|0|0:0:2|
|stop|ignore|0|0|0|0|0|0:0:3|
|stop|ignore|0|0|0|0|0|0:0:4|
|stop|ignore|0|0|0|0|0|0:0:4|
|stop|ignore|0|0|0|0|0|0:0:5|
|stop|ignore|0|0|0|0|0|0:0:6|
|stop|ignore|0|0|0|0|0|0:0:7|
|stop|ignore|0|0|0|0|0|0:0:8|
|stop|ignore|0|0|0|0|0|0:0:9|
|stop|ignore|0|0|0|0|0|0:0:9|
|stop|ignore|0|0|0|0|0|0:0:10|
|stop|ignore|0|0|0|0|0|0:0:11|
|stop|ignore|0|0|0|0|0|0:0:12|
|stop|ignore|0|0|0|0|0|0:0:13|
|stop|ignore|0|0|0|0|0|0:0:14|
|stop|ignore|0|0|0|0|0|0:0:15|
|stop|ignore|0|0|0|0|0|0:0:15|
|stop|ignore|0|0|0|0|0|0:0:16|
|stop|ignore|0|0|0|0|0|0:0:17|
|stop|ignore|0|0|0|0|0|0:0:18|
|stop|ignore|0|0|0|0|0|0:0:19|
|stop|ignore|0|0|0|0|0|0:0:20|
|stop|ignore|0|0|0|0|0|0:0:21|
|stop|ignore|0|0|0|0|0|0:0:21|
|stop|ignore|0|0|0|0|0|0:0:22|
|stop|ignore|0|0|0|0|0|0:0:23|
|stop|ignore|0|0|0|0|0|0:0:24|
|stop|ignore|0|0|0|0|0|0:0:25|
|stop|ignore|0|0|0|0|0|0:0:26|
|stop|ignore|0|0|0|0|0|0:0:26|
|stop|ignore|0|0|0|0|0|0:0:27|
|stop|ignore|0|0|0|0|0|0:0:28|
|stop|ignore|0|0|0|0|0|0:0:29|
|stop|ignore|0|0|0|0|0|0:0:30|
|stop|ignore|0|0|0|0|0|0:0:31|
|stop|ignore|0|0|0|0|0|0:0:32|
|stop|ignore|0|0|0|0|0|0:0:32|
|stop|ignore|0|0|0|0|0|0:0:33|
|stop|ignore|0|0|0|0|0|0:0:34|
|stop|ignore|0|0|0|0|0|0:0:35|
|stop|ignore|0|0|0|0|0|0:0:36|
|stop|ignore|0|0|0|0|0|0:0:37|
|stop|ignore|0|0|0|0|0|0:0:38|
|stop|ignore|0|0|0|0|0|0:0:38|
|stop|ignore|0|0|0|0|0|0:0:39|
|stop|ignore|0|0|0|0|0|0:0:40|
|stop|ignore|0|0|0|0|0|0:0:41|
|stop|ignore|0|0|0|0|0|0:0:42|
|stop|ignore|0|0|0|0|0|0:0:43|
|stop|ignore|0|0|0|0|0|0:0:43|
|stop|ignore|0|0|0|0|0|0:0:44|
|stop|ignore|0|0|0|0|0|0:0:45|
|stop|ignore|0|0|0|0|0|0:0:46|
|stop|ignore|0|0|0|0|0|0:0:47|
|stop|ignore|0|0|0|0|0|0:0:48|
|stop|ignore|0|0|0|0|0|0:0:49|
|stop|ignore|0|0|0|0|0|0:0:49|
|stop|ignore|0|0|0|0|0|0:0:50|
|stop|ignore|0|0|0|0|0|0:0:51|
|stop|ignore|0|0|0|0|0|0:0:52|
|stop|ignore|0|0|0|0|0|0:0:53|
|stop|ignore|0|0|0|0|0|0:0:54|
|stop|ignore|0|0|0|0|0|0:0:55|
|stop|ignore|0|0|0|0|0|0:0:55|
|stop|ignore|0|0|0|0|0|0:0:56|
|stop|ignore|0|0|0|0|0|0:0:57|
|stop|ignore|0|0|0|0|0|0:0:58|
|stop|ignore|0|0|0|0|0|0:0:59|
|stop|ignore|0|0|0|0|0|0:1:0|
|stop|ignore|0|0|0|0|0|0:1:0|
|stop|ignore|0|0|0|0|0|0:1:1|
|stop|ignore|0|0|0|0|0|0:1:2|
|stop|ignore|0|0|0|0|0|0:1:3|
|stop|ignore|0|0|0|0|0|0:1:4|
|stop|ignore|0|0|0|0|0|0:1:5|
|stop|ignore|0|0|0|0|0|0:1:6|
|stop|ignore|0|0|0|0|0|0:1:6|
|stop|ignore|0|0|0|0|0|0:1:7|
|stop|ignore|0|0|0|0|0|0:1:8|
|stop|ignore|0|0|0|0|0|0:1:9|
|stop|ignore|0|0|0|0|0|0:1:10|
|stop|ignore|0|0|0|0|0|0:1:11|
|stop|ignore|0|0|0|0|0|0:1:12|
|stop|ignore|0|0|0|0|0|0:1:12|
|stop|ignore|0|0|0|0|0|0:1:13|
|stop|ignore|0|0|0|0|0|0:1:14|
|stop|ignore|0|0|0|0|0|0:1:15|
|stop|ignore|0|0|0|0|0|0:1:16|
|stop|ignore|0|0|0|0|0|0:1:17|
|stop|ignore|0|0|0|0|0|0:1:18|
|stop|ignore|0|0|0|0|0|0:1:18|
|stop|ignore|0|0|0|0|0|0:1:19|
|stop|ignore|0|0|0|0|0|0:1:20|
|stop|ignore|0|0|0|0|0|0:1:21|
|stop|ignore|0|0|0|0|0|0:1:22|
|stop|ignore|0|0|0|0|0|0:1:23|
|stop|ignore|0|0|0|0|0|0:1:24|
|stop|ignore|0|0|0|0|0|0:1:24|
|stop|ignore|0|0|0|0|0|0:1:25|
